59
Country,Capital,Latitude,Longitude
Algiers,Rabat,420,381
Rabat,Madrid,100,206
Madrid,Paris,115,242
Paris,Amsterdam,80,258
Amsterdam,Copenhagen,80,169
Copenhagen,Oslo,75,80
Oslo,Reykjavík,180,183
Tokyo,Wellington,785,1025
Wellington,Canberra,435,462
Jakarta,Bangkok,210,86
Bangkok,New Delhi,285,250
New Delhi,Islamabad,585,1192
Islamabad,Tehran,535,484
Stockholm,Berlin,250,197
Berlin,Amsterdam,85,94
Amsterdam,London,85,129
London,Washington DC,690,1241
Washington DC,Mexico City,310,387
Mexico City,Bogota,270,175
Bogota,Washington DC,330,624
Washington DC,London,450,466
London,Reykjavík,190,97
Paris,Rome,125,94
Rome,Valletta,95,58
Valletta,Tripoli,60,230
Cairo,Muscat,220,218
Muscat,Abu Dhabi,70,85
New Delhi,Bangkok,250,152
Beijing,Ulaanbaatar,140,284
Tehran,Riyadh,230,483
Riyadh,Cairo,185,98
Cairo,Athens,125,200
Athens,Rome,125,172
Rome,Madrid,155,110
Lisbon,Dakar,255,624
Dakar,Niamey,325,630
Niamey,Cairo,865,607
Washington DC,Ottawa,100,413
New Delhi,Singapore,340,412
Singapore,Tokyo,410,335
Rome,Cairo,195,271
Cairo,Abu Dhabi,190,359
Abu Dhabi,New Delhi,215,198
New Delhi,Beijing,590,434
Beijing,Tokyo,195,420
Paris,Algiers,145,88
Algiers,Cairo,225,186
Tehran,Islamabad,610,340
Islamabad,New Delhi,1275,434
Bangkok,Singapore,150,123
Jakarta,Canberra,930,514
Tehran,Abu Dhabi,280,680
Abu Dhabi,Singapore,670,415
Bangkok,Tokyo,335,687
London,Madrid,150,26
Madrid,Rabat,100,72
Rabat,Cairo,715,439
Tokyo,Seoul,165,62
Seoul,Beijing,130,78
Berlin,Paris,115,104
Paris,London,70,100
Abu Dhabi,Islamabad,190,142
Canberra,Wellington,415,383
Paris,Vienna,115,44
Vienna,Warsaw,80,34
Amsterdam,Berlin,85,87
Athens,Sofia,80,286
Sofia,Bucharest,1395,127
Bucharest,Warsaw,115,320
Lisbon,Rabat,620,68
Rabat,Algiers,415,533
Algiers,Tunis,85,100
Tunis,Cairo,180,208
Cairo,Amman,75,222
Amman,Baghdad,95,506
Baghdad,Tehran,1015,289
Algiers,Vienna,150,246
Canberra,Jakarta,420,350
Sofia,Nicosia,120,150
Ottawa,Helsinki,480,600
Bern,Stockholm,150,200
Vilnius,Warsaw,60,100
Bern,Cairo,240,300
Riyadh,Muscat,105,180
Beirut,Manama,150,220
Dakar,Lisbon,240,350
Paris,Budapest,135,180
Jakarta,Kuala Lumpur,120,100
Tripoli,Tunis,60,120
Amman,Kuwait City,120,150
Kathmandu,New Delhi,90,120
Niamey,Dakar,180,250
Dublin,London,75,80
Manama,Doha,60,100
Helsinki,Copenhagen,90,150
Singapore,Bangkok,145,200
Bern,Vienna,90,150
Niamey,Tunis,240,300
Ulaanbaatar,Tokyo,240,400
Muscat,Rabat,480,600
Muscat,Athens,360,450
Tunis,Muscat,420,550
Warsaw,Berlin,90,120
Nicosia,Ottawa,720,800
Amman,Riyadh,120,200
Copenhagen,Bern,120,180
Ottawa,Niamey,600,700
Vilnius,Amsterdam,120,150
Wellington,Vilnius,1440,1200
Abu Dhabi,Vilnius,360,400
Kuala Lumpur,Athens,660,700
Lisbon,Madrid,75,100
Stockholm,Oslo,60,80
Kuala Lumpur,Jakarta,120,100
Valletta,Sofia,120,150
Algiers,Valletta,90,120
Kathmandu,Budapest,480,500
Kuala Lumpur,Kathmandu,240,300
Bern,Berlin,90,150
Washington DC,Ankara,200,340
Ankara,Tokyo,130,250
